*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 5
 Learning_rate : 0.001
 Image size 512*512
 Step 516
Epoch: [1][0/516]	Time 2.902 (2.902)	Loss 1.1622 (1.1622)	Accuracy 0.2000 (0.2000)	
Epoch: [1][1/516]	Time 3.022 (2.962)	Loss 1.4591 (1.3107)	Accuracy 0.4000 (0.3000)	
Epoch: [1][2/516]	Time 2.628 (2.850)	Loss 1.6037 (1.4084)	Accuracy 0.4000 (0.3333)	
Epoch: [1][3/516]	Time 3.924 (3.119)	Loss 1.0822 (1.3268)	Accuracy 0.6000 (0.4000)	
Epoch: [1][4/516]	Time 2.850 (3.065)	Loss 2.2918 (1.5198)	Accuracy 0.2000 (0.3600)	
Epoch: [1][5/516]	Time 2.648 (2.995)	Loss 0.9486 (1.4246)	Accuracy 0.4000 (0.3667)	
Epoch: [1][6/516]	Time 3.424 (3.057)	Loss 1.6524 (1.4571)	Accuracy 0.2000 (0.3429)	
Epoch: [1][7/516]	Time 3.533 (3.116)	Loss 1.2371 (1.4296)	Accuracy 0.2000 (0.3250)	
Epoch: [1][8/516]	Time 3.573 (3.167)	Loss 1.6302 (1.4519)	Accuracy 0.4000 (0.3333)	
Epoch: [1][9/516]	Time 2.900 (3.140)	Loss 3.2921 (1.6359)	Accuracy 0.4000 (0.3400)	
Epoch: [1][10/516]	Time 4.013 (3.220)	Loss 1.5207 (1.6255)	Accuracy 0.6000 (0.3636)	
Epoch: [1][11/516]	Time 2.712 (3.177)	Loss 1.6659 (1.6288)	Accuracy 0.2000 (0.3500)	
Epoch: [1][12/516]	Time 3.118 (3.173)	Loss 0.7686 (1.5627)	Accuracy 0.6000 (0.3692)	
Epoch: [1][13/516]	Time 2.940 (3.156)	Loss 1.5546 (1.5621)	Accuracy 0.6000 (0.3857)	
Epoch: [1][14/516]	Time 2.857 (3.136)	Loss 1.0901 (1.5306)	Accuracy 0.4000 (0.3867)	
Epoch: [1][15/516]	Time 3.576 (3.164)	Loss 1.2510 (1.5132)	Accuracy 0.2000 (0.3750)	
