*******************MIL CNN*********************
Size of training dataset 1776
Size of Validation dataset 445
Size of testing dataset 585
No. of Epochs: 800
 Batch size: 1
 Learning_rate : 0.01
 Patch size 512*512
 Step 1776
Epoch	BatchTime	AverageBatchTime	Loss	AverageLoss	Accuracy	AverageAccuracy
[1][0/1776]	0.853584	 0.853584	1.609748721	1.609748721	0.000000000	0.000000000	
[1][1/1776]	1.146386	 0.999985	0.736004233	1.172876477	1.000000000	0.500000000	
[1][2/1776]	0.663923	 0.887964	2.533813477	1.626522144	0.000000000	0.333333333	
[1][3/1776]	4.707233	 1.842782	0.725610316	1.401294187	1.000000000	0.500000000	
[1][4/1776]	2.099350	 1.894095	0.652362585	1.251507866	1.000000000	0.600000000	
[1][5/1776]	4.212497	 2.280495	2.568862915	1.471067041	0.000000000	0.500000000	
[1][6/1776]	0.730469	 2.059063	2.505462646	1.618837842	0.000000000	0.428571429	
[1][7/1776]	0.725893	 1.892417	2.389179707	1.715130575	0.000000000	0.375000000	
[1][8/1776]	3.278114	 2.046383	2.018967152	1.748890195	0.000000000	0.333333333	
[1][9/1776]	1.386294	 1.980374	0.988114953	1.672812670	1.000000000	0.400000000	
[1][10/1776]	1.039910	 1.894878	0.650113225	1.579839994	1.000000000	0.454545455	
[1][11/1776]	4.076640	 2.076691	2.539027452	1.659772282	0.000000000	0.416666667	
[1][12/1776]	2.051967	 2.074789	0.673127890	1.583876559	1.000000000	0.461538462	
[1][13/1776]	4.614806	 2.256219	0.658850014	1.517803235	1.000000000	0.500000000	
[1][14/1776]	0.764619	 2.156779	2.556953669	1.587079930	0.000000000	0.466666667	
[1][15/1776]	2.178550	 2.158140	2.329092026	1.633455686	0.000000000	0.437500000	
[1][16/1776]	1.923982	 2.144366	1.577667713	1.630174041	0.000000000	0.411764706	
[1][17/1776]	2.294221	 2.152691	1.297654033	1.611700707	0.000000000	0.388888889	
[1][18/1776]	1.070825	 2.095751	1.102614522	1.584906697	1.000000000	0.421052632	
[1][19/1776]	1.607412	 2.071334	0.731585741	1.542240649	1.000000000	0.450000000	
[1][20/1776]	0.762471	 2.009007	0.678787947	1.501123854	1.000000000	0.476190476	
[1][21/1776]	1.196475	 1.972074	2.426680088	1.543194592	0.000000000	0.454545455	
[1][22/1776]	1.419997	 1.948070	1.053874850	1.521919821	1.000000000	0.478260870	
[1][23/1776]	5.315770	 2.088391	0.685960293	1.487088174	1.000000000	0.500000000	
[1][24/1776]	3.747572	 2.154758	0.654133081	1.453769970	1.000000000	0.520000000	
[1][25/1776]	1.855484	 2.143248	2.578541517	1.497030414	0.000000000	0.500000000	
[1][26/1776]	3.217612	 2.183039	0.702124357	1.467589449	1.000000000	0.518518519	
[1][27/1776]	0.765348	 2.132407	0.642420769	1.438119139	1.000000000	0.535714286	
[1][28/1776]	3.763074	 2.188637	0.640617132	1.410619070	1.000000000	0.551724138	
[1][29/1776]	2.517438	 2.199597	2.591542006	1.449983168	0.000000000	0.533333333	
[1][30/1776]	3.051247	 2.227070	2.574285984	1.486251000	0.000000000	0.516129032	
[1][31/1776]	0.756127	 2.181103	0.666295767	1.460627399	1.000000000	0.531250000	
[1][32/1776]	3.860690	 2.231999	2.567145109	1.494158239	0.000000000	0.515151515	
[1][33/1776]	2.054740	 2.226786	2.465650797	1.522731550	0.000000000	0.500000000	
[1][34/1776]	4.495071	 2.291594	2.272098064	1.544142021	0.000000000	0.485714286	
[1][35/1776]	1.033622	 2.256650	1.276765823	1.536714905	0.000000000	0.472222222	
[1][36/1776]	2.519270	 2.263748	1.067368269	1.524029861	1.000000000	0.486486486	
[1][37/1776]	1.105113	 2.233258	0.699809253	1.502339845	1.000000000	0.500000000	
[1][38/1776]	5.333504	 2.312751	2.321651459	1.523347835	0.000000000	0.487179487	
[1][39/1776]	2.986250	 2.329589	1.710976362	1.528038548	0.000000000	0.475000000	
[1][40/1776]	0.755120	 2.291187	1.398164988	1.524870900	0.000000000	0.463414634	
[1][41/1776]	0.944068	 2.259113	1.379023075	1.521398333	0.000000000	0.452380952	
[1][42/1776]	1.771887	 2.247782	1.426573515	1.519193105	1.000000000	0.465116279	
[1][43/1776]	1.647012	 2.234128	1.383752823	1.516114916	1.000000000	0.477272727	
[1][44/1776]	0.924604	 2.205028	1.400131702	1.513537512	0.000000000	0.466666667	
[1][45/1776]	4.529082	 2.255551	1.346095681	1.509897472	0.000000000	0.456521739	
[1][46/1776]	0.619081	 2.220732	1.778393030	1.515610143	0.000000000	0.446808511	
[1][47/1776]	3.766330	 2.252932	1.306845427	1.511260878	1.000000000	0.458333333	
[1][48/1776]	3.670842	 2.281869	1.836959124	1.517907781	0.000000000	0.448979592	
[1][49/1776]	4.670956	 2.329651	1.417327642	1.515896178	1.000000000	0.460000000	
[1][50/1776]	3.553451	 2.353647	1.394203663	1.513510051	0.000000000	0.450980392	
[1][51/1776]	2.291727	 2.352456	1.372260332	1.510793710	0.000000000	0.442307692	
[1][52/1776]	0.659980	 2.320522	1.233124018	1.505554659	0.000000000	0.433962264	
[1][53/1776]	1.003155	 2.296127	1.282644391	1.501426691	1.000000000	0.444444444	
[1][54/1776]	2.255099	 2.295381	2.250164747	1.515040110	0.000000000	0.436363636	
[1][55/1776]	1.909106	 2.288483	1.374667168	1.512533451	0.000000000	0.428571429	
[1][56/1776]	1.607265	 2.276532	1.756562471	1.516814662	0.000000000	0.421052632	
[1][57/1776]	0.727494	 2.249824	1.895349383	1.523341122	0.000000000	0.413793103	
[1][58/1776]	1.019913	 2.228978	1.371143341	1.520761499	1.000000000	0.423728814	
[1][59/1776]	0.888692	 2.206640	1.261262894	1.516436522	1.000000000	0.433333333	
[1][60/1776]	2.934996	 2.218581	2.050835371	1.525197159	0.000000000	0.426229508	
[1][61/1776]	2.178067	 2.217927	1.389632821	1.523010637	0.000000000	0.419354839	
[1][62/1776]	1.645462	 2.208840	1.382433295	1.520779251	1.000000000	0.428571429	
[1][63/1776]	2.998296	 2.221176	1.359939933	1.518266137	1.000000000	0.437500000	
[1][64/1776]	2.071487	 2.218873	1.377288103	1.516097244	1.000000000	0.446153846	
[1][65/1776]	0.664002	 2.195314	1.358844161	1.513714621	1.000000000	0.454545455	
[1][66/1776]	1.296921	 2.181905	1.880528688	1.519189458	0.000000000	0.447761194	
[1][67/1776]	1.459638	 2.171284	1.402306080	1.517470585	1.000000000	0.455882353	
[1][68/1776]	0.939466	 2.153431	1.344709396	1.514966800	1.000000000	0.463768116	
[1][69/1776]	1.092637	 2.138277	1.454194784	1.514098628	0.000000000	0.457142857	
[1][70/1776]	2.060901	 2.137187	1.426411390	1.512863597	0.000000000	0.450704225	
[1][71/1776]	1.679542	 2.130831	1.336641312	1.510416065	1.000000000	0.458333333	
[1][72/1776]	4.120007	 2.158080	1.542954683	1.510861799	0.000000000	0.452054795	
[1][73/1776]	1.534058	 2.149647	1.284306169	1.507800237	0.000000000	0.445945946	
[1][74/1776]	1.947234	 2.146948	1.273235798	1.504672711	1.000000000	0.453333333	
[1][75/1776]	2.034186	 2.145465	1.391585708	1.503184724	1.000000000	0.460526316	
[1][76/1776]	3.069198	 2.157461	2.033915043	1.510077326	0.000000000	0.454545455	
