Step|length,BatchTime,BatchAvgTime,Loss,AvgLoss,Accuracy,AverageAccuracy
[0/15],9.021,9.021,1.3024,1.3024,0.15,0.15
[1/15],8.399,8.71,1.1333,1.2179,0.25,0.2
[2/15],8.045,8.488,1.381,1.2723,0.2,0.2
[3/15],8.611,8.519,1.0197,1.2091,0.4,0.25
[4/15],8.36,8.487,1.1584,1.199,0.4,0.28
[5/15],8.277,8.452,1.1966,1.1986,0.25,0.275
[6/15],7.745,8.351,1.1869,1.1969,0.3,0.279
[7/15],6.77,8.154,1.359,1.2172,0.1,0.256
[8/15],8.666,8.21,1.0418,1.1977,0.25,0.256
[9/15],7.476,8.137,1.2341,1.2013,0.2,0.25
[10/15],7.92,8.117,1.2104,1.2021,0.2,0.245
[11/15],10.401,8.308,1.2721,1.208,0.2,0.242
[12/15],8.577,8.328,1.1523,1.2037,0.2,0.238
[13/15],9.264,8.395,1.2489,1.2069,0.3,0.243
[14/15],3.29,8.055,1.0113,1.2022,0.429,0.247
[0/15],10.002,10.002,1.1748,1.1748,0.2,0.2
[1/15],11.59,10.796,1.1664,1.1706,0.15,0.175
[2/15],9.886,10.493,1.1487,1.1633,0.2,0.183
[3/15],9.099,10.144,1.162,1.1629,0.25,0.2
[4/15],9.133,9.942,1.0827,1.1469,0.3,0.22
[5/15],8.565,9.713,1.235,1.1616,0.1,0.2
[6/15],8.405,9.526,1.0412,1.1444,0.45,0.236
[7/15],8.689,9.421,1.1799,1.1488,0.15,0.225
[8/15],10.567,9.549,1.2586,1.161,0.35,0.239
[9/15],7.227,9.316,1.119,1.1568,0.25,0.24
[10/15],8.199,9.215,1.1997,1.1607,0.3,0.245
[11/15],8.787,9.179,1.1307,1.1582,0.2,0.242
[12/15],9.377,9.194,0.9874,1.1451,0.35,0.25
[13/15],9.066,9.185,1.0854,1.1408,0.35,0.257
[14/15],2.929,8.768,1.1393,1.1408,0.286,0.258
[0/15],7.749,7.749,1.1701,1.1701,0.2,0.2
[1/15],7.268,7.508,1.1716,1.1708,0.25,0.225
[2/15],7.254,7.423,1.2232,1.1883,0.2,0.217
[3/15],7.8,7.518,1.1333,1.1745,0.3,0.237
[4/15],7.228,7.46,1.1667,1.173,0.25,0.24
[5/15],7.514,7.469,1.1404,1.1675,0.2,0.233
[6/15],6.951,7.395,1.099,1.1578,0.2,0.229
