*****************PrerTrained Network Testing******************

Size of training dataset 2577
Size of Validation dataset 287
Size of testing dataset 704
No. of Epochs: 100
 Batch size: 10
 Learning_rate : 0.01
 Image size 512*512
 Step 258
Epoch: [1][0/258]	Time 5.141 (5.141)	Loss 1.4140 (1.4140)	Accuracy 0.3000 (0.3000)	
Epoch: [1][1/258]	Time 5.037 (5.089)	Loss 0.8801 (1.1471)	Accuracy 0.6000 (0.4500)	
Epoch: [1][2/258]	Time 5.228 (5.135)	Loss 5.6207 (2.6383)	Accuracy 0.3000 (0.4000)	
Epoch: [1][3/258]	Time 5.278 (5.171)	Loss 4.8618 (3.1942)	Accuracy 0.2000 (0.3500)	
Epoch: [1][4/258]	Time 4.587 (5.054)	Loss 3.5515 (3.2656)	Accuracy 0.6000 (0.4000)	
Epoch: [1][5/258]	Time 4.123 (4.899)	Loss 4.6025 (3.4884)	Accuracy 0.3000 (0.3833)	
Epoch: [1][6/258]	Time 4.747 (4.877)	Loss 1.0744 (3.1436)	Accuracy 0.5000 (0.4000)	
Epoch: [1][7/258]	Time 4.363 (4.813)	Loss 3.0633 (3.1336)	Accuracy 0.2000 (0.3750)	
Epoch: [1][8/258]	Time 5.014 (4.835)	Loss 2.3085 (3.0419)	Accuracy 0.3000 (0.3667)	
Epoch: [1][9/258]	Time 3.939 (4.746)	Loss 1.9124 (2.9289)	Accuracy 0.4000 (0.3700)	
Epoch: [1][10/258]	Time 4.974 (4.766)	Loss 2.2125 (2.8638)	Accuracy 0.3000 (0.3636)	
Epoch: [1][11/258]	Time 4.632 (4.755)	Loss 2.5257 (2.8356)	Accuracy 0.3000 (0.3583)	
Epoch: [1][12/258]	Time 4.397 (4.728)	Loss 2.4237 (2.8039)	Accuracy 0.1000 (0.3385)	
Epoch: [1][13/258]	Time 4.561 (4.716)	Loss 1.7452 (2.7283)	Accuracy 0.2000 (0.3286)	
Epoch: [1][14/258]	Time 4.557 (4.705)	Loss 1.4164 (2.6409)	Accuracy 0.3000 (0.3267)	
Epoch: [1][15/258]	Time 4.940 (4.720)	Loss 1.6080 (2.5763)	Accuracy 0.3000 (0.3250)	
Epoch: [1][16/258]	Time 5.552 (4.769)	Loss 2.9217 (2.5966)	Accuracy 0.6000 (0.3412)	
Epoch: [1][17/258]	Time 5.120 (4.788)	Loss 1.3584 (2.5278)	Accuracy 0.5000 (0.3500)	
Epoch: [1][18/258]	Time 4.825 (4.790)	Loss 4.2056 (2.6161)	Accuracy 0.2000 (0.3421)	
Epoch: [1][19/258]	Time 4.369 (4.769)	Loss 2.5358 (2.6121)	Accuracy 0.3000 (0.3400)	
Epoch: [1][20/258]	Time 4.904 (4.776)	Loss 1.3441 (2.5517)	Accuracy 0.2000 (0.3333)	
Epoch: [1][21/258]	Time 4.834 (4.778)	Loss 1.1916 (2.4899)	Accuracy 0.5000 (0.3409)	
Epoch: [1][22/258]	Time 4.592 (4.770)	Loss 1.0590 (2.4277)	Accuracy 0.5000 (0.3478)	
Epoch: [1][23/258]	Time 5.248 (4.790)	Loss 2.3289 (2.4236)	Accuracy 0.3000 (0.3458)	
Epoch: [1][24/258]	Time 4.165 (4.765)	Loss 2.9300 (2.4438)	Accuracy 0.3000 (0.3440)	
Epoch: [1][25/258]	Time 4.684 (4.762)	Loss 2.2301 (2.4356)	Accuracy 0.4000 (0.3462)	
Epoch: [1][26/258]	Time 5.085 (4.774)	Loss 1.4707 (2.3999)	Accuracy 0.3000 (0.3444)	
Epoch: [1][27/258]	Time 3.653 (4.734)	Loss 1.6096 (2.3717)	Accuracy 0.3000 (0.3429)	
Epoch: [1][28/258]	Time 5.051 (4.745)	Loss 1.4291 (2.3392)	Accuracy 0.2000 (0.3379)	
Epoch: [1][29/258]	Time 4.765 (4.746)	Loss 0.9481 (2.2928)	Accuracy 0.6000 (0.3467)	
Epoch: [1][30/258]	Time 4.676 (4.743)	Loss 1.2136 (2.2580)	Accuracy 0.3000 (0.3452)	
Epoch: [1][31/258]	Time 4.804 (4.745)	Loss 1.3903 (2.2309)	Accuracy 0.5000 (0.3500)	
Epoch: [1][32/258]	Time 4.728 (4.745)	Loss 1.0379 (2.1947)	Accuracy 0.3000 (0.3485)	
Epoch: [1][33/258]	Time 4.881 (4.749)	Loss 1.5291 (2.1751)	Accuracy 0.6000 (0.3559)	
Epoch: [1][34/258]	Time 5.519 (4.771)	Loss 0.9656 (2.1406)	Accuracy 0.5000 (0.3600)	
Epoch: [1][35/258]	Time 5.190 (4.782)	Loss 0.9616 (2.1078)	Accuracy 0.5000 (0.3639)	
